States,Years,Numbers
MI,2015,41492
MN,2015,13387
MO,2015,30235
MS,2015,4926
MT,2015,3591
NC,2015,30359
ND,2015,1934
NE,2015,4928
NH,2015,2585
NJ,2015,22593
NM,2015,12638
NV,2015,20145
NY,2015,75043
OH,2015,31111
OK,2015,16603
OR,2015,6369
PA,2015,40154
RI,2015,2565
SC,2015,24037
SD,2015,3293
TN,2015,40826
TX,2015,112932
UT,2015,7038
VA,2015,16718
VT,2015,764
WA,2015,20280
WI,2015,17096
WV,2015,5300
WY,2015,1252
AL,2016,25141
AR,2016,15914
AZ,2016,31825
CA,2016,174751
CO,2016,18907
CT,2016,8181
DE,2016,4861
FL,2016,88577
GA,2016,39354
IA,2016,9021
ID,2016,3848
IL,2016,54815
IN,2016,24155
KS,2016,9881
KY,2016,10476
LA,2016,26166
MA,2016,25441
MD,2016,29006
ME,2016,1651
MI,2016,45545
MN,2016,13277
MO,2016,31687
MS,2016,5041
MT,2016,3877
NC,2016,32661
ND,2016,1911
NE,2016,5374
NH,2016,2566
NJ,2016,21856
NM,2016,13809
NV,2016,19882
NY,2016,74134
OH,2016,33897
OK,2016,17733
OR,2016,10615
PA,2016,40314
RI,2016,2529
SC,2016,24988
SD,2016,3497
TN,2016,42694
TX,2016,120609
UT,2016,7307
VA,2016,18470
VT,2016,804
WA,2016,21904
WI,2016,17479
WV,2016,5947
WY,2016,1365
AL,2017,23993
AR,2017,17771
AZ,2017,35882
CA,2017,178588
CO,2017,23575
CT,2017,8685
DE,2017,4635
FL,2017,85658
GA,2017,32275
IA,2017,9890
ID,2017,4739
IL,2017,55701
IN,2017,24145
KS,2017,11377
KY,2017,11743
LA,2017,25467
MA,2017,25583
MD,2017,30318
ME,2017,1775
MI,2017,49646
MN,2017,13374
MO,2017,32941
MS,2017,4877
MT,2017,4510
NC,2017,32937
ND,2017,2451
NE,2017,5964
NH,2017,3111
NJ,2017,20610
NM,2017,16131
NV,2017,16663
NY,2017,70417
OH,2017,37654
OK,2017,18523
OR,2017,13055
PA,2017,40059
RI,2017,2799
SC,2017,27040
SD,2017,3973
TN,2017,46496
TX,2017,125565
UT,2017,8621
VA,2017,19845
VT,2017,1333
WA,2017,25152
WI,2017,19518
WV,2017,6484
WY,2017,1313
AL,2018,23949
AR,2018,18154
AZ,2018,33692
CA,2018,176969
CO,2018,25957
CT,2018,8085
DE,2018,4358
FL,2018,81993
GA,2018,33293
IA,2018,7783
ID,2018,4887
IL,2018,52259
IN,2018,22803
KS,2018,12254
